state,year,time,deaths,completeness_deaths,deaths_scaled
Punjab State,2019,8,16011,1,16011
Punjab State,2019,9,18031,1,18031
Punjab State,2019,10,16916,1,16916
Punjab State,2019,11,18972,1,18972
Punjab State,2019,12,19598,1,19598
Punjab State,2020,1,22870,1,22870
Punjab State,2020,2,18482,1,18482
Punjab State,2020,3,16185,1,16185
Punjab State,2020,4,14475,1,14475
Punjab State,2020,5,16753,1,16753
Punjab State,2020,6,17606,1,17606
Punjab State,2020,7,17411,1,17411
Punjab State,2020,8,18014,1,18014
Punjab State,2020,9,21393,1,21393
Punjab State,2020,10,21096,1,21096
Punjab State,2020,11,20823,1,20823
Punjab State,2020,12,23028,1,23028
Punjab State,2021,1,20682,1,20682
Punjab State,2021,2,18676,1,18676
Punjab State,2021,3,19100,1,19100
Punjab State,2021,4,24983,1,24983
Punjab State,2021,5,37292,1,37292
Punjab State,2021,6,26656,1,26656
Rajasthan State,2018,1,20798,0.999,20818.81882
Rajasthan State,2018,2,18301,0.999,18319.31932
Rajasthan State,2018,3,18921,0.999,18939.93994
Rajasthan State,2018,4,18018,0.999,18036.03604
Rajasthan State,2018,5,19446,0.999,19465.46547
Rajasthan State,2018,6,17048,0.999,17065.06507
Rajasthan State,2018,7,15640,0.999,15655.65566
Rajasthan State,2018,8,16023,0.999,16039.03904
Rajasthan State,2018,9,15812,0.999,15827.82783
Rajasthan State,2018,10,17226,0.999,17243.24324
Rajasthan State,2018,11,17489,0.999,17506.50651
Rajasthan State,2018,12,21648,0.999,21669.66967
Rajasthan State,2019,1,20239,0.986,20526.36917
Rajasthan State,2019,2,18089,0.986,18345.84178
Rajasthan State,2019,3,17784,0.986,18036.51116
Rajasthan State,2019,4,16651,0.986,16887.42394
Rajasthan State,2019,5,17603,0.986,17852.94118
Rajasthan State,2019,6,19766,0.986,20046.65314
Rajasthan State,2019,7,15656,0.986,15878.29615
Rajasthan State,2019,8,17569,0.986,17818.45842
Rajasthan State,2019,9,19291,0.986,19564.90872
Rajasthan State,2019,10,17924,0.986,18178.49899
Rajasthan State,2019,11,17794,0.986,18046.65314
Rajasthan State,2019,12,21448,0.986,21752.5355
Rajasthan State,2020,1,21954,0.986,22265.72008
Rajasthan State,2020,2,18056,0.986,18312.37323
Rajasthan State,2020,3,16378,0.986,16610.54767
Rajasthan State,2020,4,17596,0.986,17845.84178
Rajasthan State,2020,5,20582,0.986,20874.23935
Rajasthan State,2020,6,17959,0.986,18213.99594
Rajasthan State,2020,7,17151,0.986,17394.52333
Rajasthan State,2020,8,17918,0.986,18172.41379
Rajasthan State,2020,9,18719,0.986,18984.78702
Rajasthan State,2020,10,18405,0.986,18666.3286
Rajasthan State,2020,11,21265,0.986,21566.93712
Rajasthan State,2020,12,23581,0.986,23915.8215
Rajasthan State,2021,1,19622,0.986,19900.60852
Rajasthan State,2021,2,14860,0.986,15070.99391
Rajasthan State,2021,3,16084,0.986,16312.37323
Rajasthan State,2021,4,26251,0.986,26623.73225
Rajasthan State,2021,5,49046,0.986,49742.39351
Tamil Nadu State,2018,1,55390,1,55390
Tamil Nadu State,2018,2,47231,1,47231
Tamil Nadu State,2018,3,46703,1,46703
Tamil Nadu State,2018,4,43586,1,43586
Tamil Nadu State,2018,5,43928,1,43928
Tamil Nadu State,2018,6,43222,1,43222
Tamil Nadu State,2018,7,42633,1,42633
Tamil Nadu State,2018,8,41051,1,41051
Tamil Nadu State,2018,9,40484,1,40484
Tamil Nadu State,2018,10,46337,1,46337
Tamil Nadu State,2018,11,51602,1,51602
Tamil Nadu State,2018,12,34025,1,34025
Tamil Nadu State,2019,1,58405,1,58405
Tamil Nadu State,2019,2,46560,1,46560
Tamil Nadu State,2019,3,47772,1,47772
Tamil Nadu State,2019,4,45913,1,45913
Tamil Nadu State,2019,5,51639,1,51639
Tamil Nadu State,2019,6,48868,1,48868
Tamil Nadu State,2019,7,45762,1,45762
Tamil Nadu State,2019,8,47385,1,47385
Tamil Nadu State,2019,9,48621,1,48621
Tamil Nadu State,2019,10,53028,1,53028
Tamil Nadu State,2019,11,55658,1,55658
Tamil Nadu State,2019,12,38610,1,38610
Tamil Nadu State,2020,1,58132,1,58132
Tamil Nadu State,2020,2,48893,1,48893
Tamil Nadu State,2020,3,45987,1,45987
Tamil Nadu State,2020,4,41482,1,41482
Tamil Nadu State,2020,5,50834,1,50834
Tamil Nadu State,2020,6,50687,1,50687
Tamil Nadu State,2020,7,60052,1,60052
Tamil Nadu State,2020,8,70033,1,70033
Tamil Nadu State,2020,9,65447,1,65447
Tamil Nadu State,2020,10,60096,1,60096
Tamil Nadu State,2020,11,52231,1,52231
Tamil Nadu State,2020,12,40417,1,40417
Tamil Nadu State,2021,1,62273,1,62273
Tamil Nadu State,2021,2,52845,1,52845
Tamil Nadu State,2021,3,50959,1,50959
Tamil Nadu State,2021,4,58775,1,58775
Tamil Nadu State,2021,5,93573,1,93573
Tamil Nadu State,2021,6,154828,1,154828
Tamil Nadu State,2021,7,88664,1,88664
Tamil Nadu State,2021,8,45390,1,45390
Tamil Nadu State,2021,9,57978,1,57978
Tamil Nadu State,2021,10,51989,1,51989
Tamil Nadu State,2021,11,67703,1,67703
Tamil Nadu State,2021,12,76391,1,76391
Uttar Pradesh State,2019,1,68962,0.633,108944.7077
Uttar Pradesh State,2019,2,69809,0.633,110282.7804
Uttar Pradesh State,2019,3,63962,0.633,101045.8136
Uttar Pradesh State,2019,4,56583,0.633,89388.62559
Uttar Pradesh State,2019,5,55338,0.633,87421.80095
Uttar Pradesh State,2019,6,62657,0.633,98984.20221
Uttar Pradesh State,2019,7,63604,0.633,100480.2528
Uttar Pradesh State,2019,8,67811,0.633,107126.3823
Uttar Pradesh State,2019,9,69589,0.633,109935.2291
Uttar Pradesh State,2019,10,60004,0.633,94793.04897
Uttar Pradesh State,2019,11,66740,0.633,105434.4392
Uttar Pradesh State,2019,12,66324,0.633,104777.2512
Uttar Pradesh State,2020,1,75773,0.633,119704.5814
Uttar Pradesh State,2020,2,50576,0.633,79898.89415
Uttar Pradesh State,2020,3,41683,0.633,65849.92101
Uttar Pradesh State,2020,4,20715,0.633,32725.11848
Uttar Pradesh State,2020,5,33543,0.633,52990.52133
Uttar Pradesh State,2020,6,59020,0.633,93238.5466
Uttar Pradesh State,2020,7,68382,0.633,108028.436
Uttar Pradesh State,2020,8,78658,0.633,124262.2433
Uttar Pradesh State,2020,9,92947,0.633,146835.703
Uttar Pradesh State,2020,10,90023,0.633,142216.4297
Uttar Pradesh State,2020,11,80981,0.633,127932.0695
Uttar Pradesh State,2020,12,99184,0.633,156688.7836
Uttar Pradesh State,2021,1,103048,0.633,162793.049
Uttar Pradesh State,2021,2,98047,0.633,154892.575
Uttar Pradesh State,2021,3,70797,0.633,111843.6019
Uttar Pradesh State,2021,4,61986,0.633,97924.17062
West Bengal State,2018,1,44067,0.918,48003.26797
West Bengal State,2018,2,32036,0.918,34897.60349
West Bengal State,2018,3,29986,0.918,32664.48802
West Bengal State,2018,4,25484,0.918,27760.34858
West Bengal State,2018,5,27630,0.918,30098.03922
West Bengal State,2018,6,27509,0.918,29966.23094
West Bengal State,2018,7,27650,0.918,30119.82571
West Bengal State,2018,8,29809,0.918,32471.67756
West Bengal State,2018,9,31350,0.918,34150.3268
West Bengal State,2018,10,33413,0.918,36397.60349
West Bengal State,2018,11,34698,0.918,37797.38562
West Bengal State,2018,12,41949,0.918,45696.07843
West Bengal State,2019,1,44476,1,44476
West Bengal State,2019,2,37050,1,37050
West Bengal State,2019,3,36797,1,36797
West Bengal State,2019,4,31733,1,31733
West Bengal State,2019,5,33102,1,33102
West Bengal State,2019,6,35373,1,35373
West Bengal State,2019,7,36793,1,36793
West Bengal State,2019,8,35742,1,35742
West Bengal State,2019,9,33254,1,33254
West Bengal State,2019,10,39812,1,39812
West Bengal State,2019,11,41958,1,41958
West Bengal State,2019,12,51471,1,51471
West Bengal State,2020,1,52439,1,52439
West Bengal State,2020,2,44182,1,44182
West Bengal State,2020,3,36376,1,36376
West Bengal State,2020,4,32933,1,32933
West Bengal State,2020,5,36542,1,36542
West Bengal State,2020,6,37480,1,37480
West Bengal State,2020,7,44056,1,44056
West Bengal State,2020,8,47965,1,47965
West Bengal State,2020,9,46553,1,46553
West Bengal State,2020,10,56450,1,56450
West Bengal State,2020,11,46343,1,46343
West Bengal State,2020,12,57444,1,57444
West Bengal State,2021,1,51745,1,51745
West Bengal State,2021,2,42479,1,42479
West Bengal State,2021,3,35659,1,35659
West Bengal State,2021,4,46816,1,46816
West Bengal State,2021,5,76183,1,76183
